,experiment_num,experiment,number of inputs,food found,area found,pricerange found,total words,average of sentences,median of sentences,sd of sentences,did_not_understand,participant,jaro-winkler,completed
37,2,exp_tuscan_9_2,4,,,2.0,26,6.5,1.0,9.526279441628825,1,Marien,0.9,True
38,3,exp_british_9_3,8,1.0,1.0,2.0,34,4.25,4.0,2.633913438213185,2,Marien,0.9,True
39,4,exp_turkey_8_4,8,1.0,1.0,3.0,43,5.375,4.0,3.8709656418005056,2,Marien,0.8,True
40,5,exp_jamaica_8_5,2,1.0,,,5,2.5,2.5,1.5,0,Marien,0.8,True
41,6,exp_indian_8_6,12,1.0,3.0,2.0,46,3.8333333333333335,4.0,2.1147629234082532,3,Marien,0.8,True
42,1,exp_portugal_9_1,8,1.0,1.0,2.0,42,5.25,4.5,4.4651427748729375,2,Erica,0.9,True
43,2,exp_tuscan_9_2,2,1.0,,1.0,7,3.5,3.5,2.5,0,Erica,0.9,True
44,3,exp_british_9_3,5,1.0,1.0,1.0,27,5.4,5.0,3.2,1,Erica,0.9,True
45,4,exp_turkey_7_4,4,1.0,1.0,2.0,20,5.0,3.0,4.898979485566356,0,Erica,0.7,False
46,5,exp_jamaica_7_5,2,1.0,,1.0,6,3.0,3.0,2.0,0,Erica,0.7,False
47,6,exp_indian_7_6,4,1.0,1.0,,19,4.75,5.0,3.2691742076555053,1,Erica,0.7,False
48,1,exp_portugal_9_1,6,1.0,1.0,4.0,27,4.5,2.0,5.024937810560445,2,TB8,0.9,True
49,2,exp_tuscan_9_2,2,1.0,,,14,7.0,7.0,5.0,0,TB8,0.9,True
50,3,exp_british_9_3,4,1.0,2.0,1.0,19,4.75,4.5,1.4790199457749045,0,TB8,0.9,True
51,4,exp_turkey_8_4,6,1.0,1.0,3.0,28,4.666666666666667,2.5,4.714045207910317,2,TB8,0.8,False
52,5,exp_jamaica_8_5,2,1.0,,,7,3.5,3.5,2.5,0,TB8,0.8,True
53,6,exp_indian_8_6,3,1.0,1.0,,31,10.333333333333334,9.0,8.219218670625303,0,TB8,0.8,False
54,1,exp_portugal_9_1,4,1.0,1.0,2.0,14,3.5,2.5,2.8722813232690143,0,Juliana,0.9,True
55,2,exp_tuscan_9_2,2,1.0,,1.0,6,3.0,3.0,2.0,0,Juliana,0.9,True
56,3,exp_british_9_3,3,1.0,1.0,1.0,16,5.333333333333333,6.0,3.2998316455372216,0,Juliana,0.9,True
57,4,exp_turkey_7_4,7,1.0,1.0,2.0,33,4.714285714285714,3.0,4.164965639175214,0,Juliana,0.7,True
58,5,exp_jamaica_7_5,2,1.0,,1.0,6,3.0,3.0,2.0,0,Juliana,0.7,True
59,6,exp_indian_7_6,3,1.0,1.0,1.0,15,5.0,6.0,2.943920288775949,0,Juliana,0.7,False
60,1,exp_portugal_9_1,8,1.0,5.0,4.0,22,2.75,3.0,1.299038105676658,3,Jelle,0.9,True
61,2,exp_tuscan_9_2,6,1.0,,1.0,33,5.5,6.0,2.5,1,Jelle,0.9,True
62,3,exp_british_9_3,5,1.0,1.0,1.0,22,4.4,5.0,1.8547236990991407,1,Jelle,0.9,True
63,4,exp_turkey_7_4,4,1.0,1.0,2.0,16,4.0,4.0,2.23606797749979,0,Jelle,0.7,False
64,5,exp_jamaica_7_5,3,1.0,,1.0,9,3.0,3.0,0.8164965809277259,0,Jelle,0.7,True
65,6,exp_indian_7_6,6,1.0,1.0,3.0,22,3.6666666666666665,4.0,1.7950549357115015,0,Jelle,0.7,True
66,1,exp_portugal_9_1,7,2.0,2.0,,45,6.428571428571429,5.0,4.716449719776908,1,JA8,0.9,True
67,2,exp_tuscan_9_2,2,1.0,1.0,,7,3.5,3.5,2.5,0,JA8,0.9,True
68,3,exp_british_9_3,11,1.0,3.0,2.0,35,3.1818181818181817,3.0,1.6414063713879807,5,JA8,0.9,True
69,4,exp_turkey_8_4,9,2.0,6.0,3.0,34,3.7777777777777777,4.0,2.3465235646603197,2,JA8,0.8,True
70,5,exp_jamaica_8_5,2,1.0,1.0,,7,3.5,3.5,2.5,0,JA8,0.8,False
71,6,exp_indian_8_6,5,1.0,1.0,2.0,18,3.6,4.0,2.576819745345025,0,JA8,0.8,True
72,1,exp_portugal_9_1,5,1.0,1.0,2.0,21,4.2,1.0,4.1182520563948,1,Wim,0.9,True
73,2,exp_tuscan_9_2,4,3.0,,3.0,15,3.75,3.5,2.7726341266023544,1,Wim,0.9,True
74,3,exp_british_9_3,3,1.0,1.0,1.0,19,6.333333333333332,8.0,3.8586123009300763,0,Wim,0.9,True
75,4,exp_turkey_7_4,6,1.0,1.0,2.0,22,3.6666666666666665,4.0,2.3570226039551585,0,Wim,0.7,False
76,5,exp_jamaica_7_5,5,1.0,1.0,4.0,16,3.2,2.0,2.4,0,Wim,0.7,False
77,6,exp_indian_7_6,5,,,2.0,19,3.8,4.0,2.638181191654584,0,Wim,0.7,False
78,1,exp_portugal_9_1,12,1.0,,3.0,108,9.0,8.0,7.32575365861197,3,David,0.9,True
79,2,exp_tuscan_9_2,5,2.0,,,35,7.0,8.0,3.40587727318528,0,David,0.9,True
80,3,exp_british_9_3,9,4.0,5.0,4.0,61,6.777777777777778,8.0,4.184037863058384,2,David,0.9,True
81,4,exp_turkey_7_4,17,1.0,1.0,3.0,97,5.705882352941178,4.0,4.040452884958682,2,David,0.7,False
82,5,exp_jamaica_7_5,11,2.0,3.0,3.0,85,7.7272727272727275,8.0,3.7195040991779607,1,David,0.7,False
83,6,exp_indian_7_6,23,1.0,1.0,3.0,102,4.434782608695652,4.0,3.7279914974306116,6,David,0.7,False
84,1,exp_portugal_9_1,9,1.0,5.0,2.0,28,3.111111111111111,2.0,1.911627837120584,1,CB8,0.9,True
85,2,exp_tuscan_9_2,5,2.0,,,24,4.8,2.0,4.66476151587624,1,CB8,0.9,True
86,3,exp_british_9_3,12,5.0,7.0,6.0,65,5.416666666666668,3.5,5.0901593513584835,3,CB8,0.9,True
87,4,exp_turkey_8_4,10,5.0,2.0,,43,4.3,4.0,2.147091055358389,5,CB8,0.8,False
88,5,exp_jamaica_8_5,8,4.0,,,38,4.75,3.5,3.526683994916471,1,CB8,0.8,True
89,6,exp_indian_8_6,6,2.0,4.0,3.0,20,3.333333333333333,3.5,1.4907119849998598,0,CB8,0.8,False
90,1,exp_portugal_9_1,4,1.0,1.0,2.0,26,6.5,5.5,4.716990566028302,0,231216,0.9,True
91,2,exp_tuscan_9_2,2,1.0,,,12,6.0,6.0,5.0,0,231216,0.9,True
92,3,exp_british_9_3,4,1.0,1.0,2.0,20,5.0,4.5,4.06201920231798,0,231216,0.9,True
93,4,exp_turkey_7_4,3,1.0,1.0,,18,6.0,6.0,4.08248290463863,0,231216,0.7,True
94,5,exp_jamaica_7_5,3,1.0,1.0,,19,6.333333333333332,7.0,4.109609335312651,0,231216,0.7,False
95,6,exp_indian_7_6,7,1.0,1.0,,60,8.571428571428571,10.0,3.849198167230708,0,231216,0.7,False
96,1,exp_portugal_9_1,6,1.0,1.0,2.0,36,6.0,5.0,3.7416573867739413,1,Niels,0.9,True
97,2,exp_tuscan_9_2,4,1.0,,,16,4.0,3.5,2.5495097567963922,0,Niels,0.9,True
98,3,exp_british_9_3,5,1.0,1.0,3.0,30,6.0,8.0,4.1952353926806065,0,Niels,0.9,True
99,4,exp_turkey_7_4,7,2.0,2.0,,55,7.857142857142858,7.0,5.3566666455007645,0,Niels,0.7,True
100,5,exp_jamaica_7_5,3,1.0,1.0,,14,4.666666666666667,3.0,3.8586123009300763,0,Niels,0.7,False
101,6,exp_indian_7_6,13,1.0,1.0,,88,6.769230769230767,5.0,5.832981110808885,4,Niels,0.7,False
102,1,exp_portugal_9_1,6,1.0,1.0,1.0,21,3.5,2.0,3.5,1,Deniz,0.9,True
103,2,exp_tuscan_9_2,2,1.0,,1.0,3,1.5,1.5,0.5,0,Deniz,0.9,True
104,3,exp_british_9_3,4,1.0,1.0,1.0,11,2.75,2.5,1.4790199457749045,0,Deniz,0.9,True
105,4,exp_turkey_7_4,8,1.0,1.0,4.0,13,1.625,1.0,1.1110243021644486,1,Deniz,0.7,True
106,5,exp_jamaica_7_5,2,1.0,,1.0,3,1.5,1.5,0.5,0,Deniz,0.7,True
107,6,exp_indian_7_6,5,1.0,1.0,4.0,11,2.2,2.0,1.16619037896906,0,Deniz,0.7,True
108,1,exp_portugal_9_1,8,1.0,1.0,5.0,25,3.125,1.5,3.2572035551988456,4,Jack,0.9,True
109,2,exp_tuscan_9_2,2,1.0,,,7,3.5,3.5,2.5,0,Jack,0.9,True
110,3,exp_british_9_3,3,1.0,1.0,1.0,17,5.666666666666668,7.0,3.39934634239519,0,Jack,0.9,True
111,4,exp_turkey_8_4,9,1.0,1.0,2.0,32,3.5555555555555562,3.0,2.9101779674908435,3,Jack,0.8,True
112,5,exp_jamaica_8_5,2,1.0,,,6,3.0,3.0,2.0,0,Jack,0.8,True
113,6,exp_indian_8_6,6,1.0,1.0,4.0,18,3.0,2.0,2.516611478423583,2,Jack,0.8,True
114,1,exp_portugal_9_1,6,1.0,1.0,3.0,27,4.5,3.0,3.947573094109004,1,JL7,0.9,True
115,2,exp_tuscan_9_2,2,1.0,,,7,3.5,3.5,2.5,0,JL7,0.9,True
116,3,exp_british_9_3,5,2.0,2.0,2.0,30,6.0,8.0,3.7416573867739413,0,JL7,0.9,True
117,4,exp_turkey_7_4,4,1.0,1.0,2.0,21,5.25,4.0,4.322904116447647,0,JL7,0.7,False
118,5,exp_jamaica_7_5,6,1.0,1.0,,29,4.833333333333333,5.0,1.8633899812498247,0,JL7,0.7,False
119,6,exp_indian_7_6,5,2.0,2.0,2.0,36,7.2,9.0,4.214261501141095,0,JL7,0.7,True
120,1,exp_portugal_9_1,4,1.0,1.0,2.0,16,4.0,2.5,3.6742346141747673,0,DT8,0.9,True
121,2,exp_tuscan_9_2,2,1.0,,,8,4.0,4.0,3.0,0,DT8,0.9,True
122,3,exp_british_9_3,3,1.0,1.0,1.0,19,6.333333333333332,6.0,4.4969125210773475,0,DT8,0.9,True
123,4,exp_turkey_8_4,10,1.0,1.0,2.0,34,3.4,3.0,2.374868417407584,3,DT8,0.8,False
124,5,exp_jamaica_8_5,2,1.0,,,7,3.5,3.5,2.5,0,DT8,0.8,True
125,6,exp_indian_8_6,4,1.0,1.0,2.0,18,4.5,3.5,3.774917217635376,0,DT8,0.8,True
126,1,exp_portugal_9_1,6,1.0,1.0,4.0,28,4.666666666666667,4.0,2.6246692913372702,1,Jip,0.9,True
127,2,exp_tuscan_9_2,4,3.0,1.0,,20,5.0,5.0,3.5355339059327378,2,Jip,0.9,True
128,3,exp_british_9_3,5,2.0,3.0,1.0,25,5.0,5.0,2.280350850198276,1,Jip,0.9,True
129,4,exp_turkey_7_4,9,1.0,1.0,,49,5.4444444444444455,6.0,2.4993826398226653,1,Jip,0.7,False
130,5,exp_jamaica_7_5,7,1.0,1.0,,33,4.714285714285714,4.0,2.864276807966203,1,Jip,0.7,False
131,6,exp_indian_7_6,6,1.0,1.0,,31,5.166666666666667,4.5,2.544056253745625,1,Jip,0.7,True
132,1,exp_portugal_9_1,12,1.0,5.0,2.0,41,3.4166666666666665,3.0,2.628635049264584,5,JhonJairo,0.9,True
133,2,exp_tuscan_9_2,6,5.0,,5.0,22,3.6666666666666665,3.5,2.0548046676563256,3,JhonJairo,0.9,True
134,3,exp_british_9_3,12,1.0,3.0,2.0,35,2.9166666666666665,2.5,1.7539637649874324,5,JhonJairo,0.9,True
135,4,exp_turkey_8_4,8,1.0,,2.0,22,2.75,2.5,1.0897247358851685,2,JhonJairo,0.8,True
136,5,exp_jamaica_8_5,2,1.0,,1.0,6,3.0,3.0,1.0,0,JhonJairo,0.8,True
137,6,exp_indian_8_6,11,1.0,1.0,2.0,33,3.0,2.0,1.8586407545691703,0,JhonJairo,0.8,True
138,1,exp_portugal_9_1,4,1.0,1.0,2.0,22,5.5,4.0,3.905124837953327,0,CV8,0.9,True
139,2,exp_tuscan_9_2,4,1.0,,,14,3.5,1.5,3.774917217635376,2,CV8,0.9,True
140,3,exp_british_9_3,3,1.0,1.0,1.0,22,7.333333333333332,5.0,6.342099196813482,0,CV8,0.9,True
141,4,exp_turkey_8_4,7,1.0,1.0,2.0,42,6.0,4.0,5.264435935053794,1,CV8,0.8,True
142,5,exp_jamaica_8_5,2,1.0,,,12,6.0,6.0,5.0,0,CV8,0.8,True
143,6,exp_indian_8_6,7,1.0,1.0,2.0,36,5.142857142857143,5.0,4.389226141639205,1,CV8,0.8,False
144,1,exp_portugal_9_1,6,1.0,1.0,,20,3.333333333333333,2.5,2.6246692913372702,2,TS7,0.9,True
145,2,exp_tuscan_9_2,5,3.0,1.0,,22,4.4,2.0,4.223742416388576,2,TS7,0.9,True
146,3,exp_british_9_3,9,1.0,3.0,1.0,46,5.111111111111111,6.0,3.034777840832814,3,TS7,0.9,True
147,4,exp_turkey_7_4,5,1.0,1.0,,27,5.4,4.0,3.3823069050575527,2,TS7,0.7,False
148,5,exp_jamaica_7_5,4,1.0,1.0,,18,4.5,5.0,2.29128784747792,0,TS7,0.7,False
149,6,exp_indian_7_6,6,1.0,1.0,,27,4.5,4.5,2.362907813126304,1,TS7,0.7,False
150,1,exp_portugal_9_1,6,1.0,1.0,3.0,43,7.166666666666668,7.0,4.913134324327891,1,SM8,0.9,True
151,2,exp_tuscan_9_2,2,1.0,,,11,5.5,5.5,4.5,0,SM8,0.9,True
152,3,exp_british_9_3,4,1.0,1.0,1.0,30,7.5,8.0,4.5,0,SM8,0.9,True
153,4,exp_turkey_8_4,9,1.0,1.0,6.0,43,4.777777777777779,4.0,3.4889596595794625,4,SM8,0.8,True
154,5,exp_jamaica_8_5,2,1.0,,,12,6.0,6.0,5.0,0,SM8,0.8,True
155,6,exp_indian_8_6,10,1.0,1.0,2.0,103,10.3,11.0,4.539823785126467,0,SM8,0.8,False
